attractions,dress,level,city,longitude,latitude
万佛湖景区,安徽省六安市万佛湖景区,5A,安徽省,116.771908,31.30645769
方特旅游区,安徽省芜湖市 方特旅游区,5A,安徽省,118.3705359,31.37959492
天柱山景区,安徽省 安庆市天柱山景区,5A,安徽省,116.4549166,30.73851396
绩溪龙川景区,安徽省宣城市绩溪龙川景区,5A,安徽省,118.6652601,30.07928768
九华山景区,安徽省池州市九华山景区,5A,安徽省,117.7941917,30.52598365
黄山景区,安徽省黄山市黄山景区,5A,安徽省,118.1708244,30.10167373
皖南古村落,安徽省黄山市皖南古村落,5A,安徽省,118.3337931,29.71809463
古徽州文化旅游区,安徽省黄山市古徽州文化旅游区,5A,安徽省,118.3328477,29.83452727
厦门鼓浪屿旅游区,福建省厦门鼓浪屿旅游区,5A,福建省,118.0620799,24.4473576
武夷山风景名胜区,福建省武夷山风景名胜区,5A,福建省,117.9516846,27.66510408
福建土楼（永定）旅游景区,福建省福建土楼（永定）旅游景区,5A,福建省,117.0912318,24.66616294
三明市泰宁风景旅游区,福建省三明市泰宁风景旅游区,5A,福建省,117.0967352,26.86692758
世界地质公园屏南白水洋·鸳鸯溪旅游区,福建省世界地质公园屏南白水洋·鸳鸯溪旅游区,5A,福建省,119.0471612,27.06737232
泉州市清源山景区,福建省泉州市清源山景区,5A,福建省,118.6073172,24.94838418
宁德市福鼎太姥山风景区,福建省宁德市福鼎太姥山风景区,5A,福建省,120.2473814,27.102875
福州市三坊七巷历史文化街区景区,福建省福州市三坊七巷历史文化街区景区,5A,福建省,119.3030663,26.05571842
龙岩市古田会议会址景区,福建省龙岩市古田会议会址景区,5A,福建省,116.8214608,25.21978021
莆田市湄洲岛国家旅游度假区,福建省莆田市湄洲岛国家旅游度假区,5A,福建省,119.1235646,25.06612568
江西省九江市庐山风景名胜区,江西省九江市庐山风景名胜区,5A,江西省,115.9894391,29.55839313
江西省吉安市井冈山风景旅游区,江西省吉安市井冈山风景旅游区,5A,江西省,114.1319981,26.63322539
江西省上饶市三清山风景名胜区,江西省上饶市三清山风景名胜区,5A,江西省,118.0694629,28.95686514
江西省鹰潭市龙虎山景区,江西省鹰潭市龙虎山景区,5A,江西省,116.9764576,28.12255812
江西省上饶市江湾景区,江西省上饶市江湾景区,5A,江西省,118.0462101,29.37068425
江西省景德镇市古窑民俗博览区,江西省景德镇市古窑民俗博览区,5A,江西省,117.1796686,29.28624544
江西省瑞金市“共和国”摇篮旅游区,江西省瑞金市“共和国”摇篮旅游区,5A,江西省,116.0221275,25.88836725
江西省宜春市明月山旅游区,江西省宜春市明月山旅游区,5A,江西省,114.2873406,27.60297845
江西省上饶市龟峰景区,江西省上饶市龟峰景区,5A,江西省,117.4209586,28.32081861
江西省抚州市资溪大觉山景区,江西省抚州市资溪大觉山景区,5A,江西省,117.1384275,27.70102102
江西省南昌市滕王阁旅游区,江西省南昌市滕王阁旅游区,5A,江西省,115.8772156,28.68121499
江西省萍乡市武功山景区,江西省萍乡市武功山景区,5A,江西省,114.1240741,27.49211745
天下第一泉,山东省济南天下第一泉,5A,山东省,117.0094645,36.66052429
崂山风景区,山东省青岛崂山风景区,5A,山东省,120.6146006,36.18451044
台儿庄古城景区,山东省枣庄台儿庄古城景区,5A,山东省,100.2344072,26.87410201
黄河口生态旅游区,山东省东营黄河口生态旅游区,5A,山东省,119.1580725,37.7309559
烟台市龙口南山景区,山东省烟台  烟台市龙口南山景区,5A,山东省,120.4744684,37.55999838
烟台市蓬莱阁（三仙山·八仙过海）旅游区,山东省烟台  烟台市蓬莱阁（三仙山·八仙过海）旅游区,5A,山东省,120.7711091,37.82472503
青州古城旅游区,山东省潍坊青州古城旅游区,5A,山东省,118.4605313,36.67024645
济宁市曲阜明故城（三孔）旅游区,山东省济宁济宁市曲阜明故城（三孔）旅游区,5A,山东省,116.98505,35.59684353
泰山景区,山东省泰安泰山景区,5A,山东省,117.1289378,36.19297493
威海市刘公岛景区,山东省威海威海市刘公岛景区,5A,山东省,122.1793909,37.50106144
威海华夏城景区,山东省威海威海华夏城景区,5A,山东省,122.1105498,37.42322591
沂蒙山旅游区,山东省临沂/潍坊沂蒙山旅游区,5A,山东省,117.9722216,35.56120185
临沂市萤火虫水洞·地下大峡谷旅游区,山东省临沂临沂市萤火虫水洞·地下大峡谷旅游区,5A,山东省,118.535028,35.72841426
少林景区,河南省郑州市少林景区,5A,河南省,112.9484835,34.51547173
清明上河园,河南省开封市清明上河园,5A,河南省,114.3316158,34.80884362
龙门石窟,河南省洛阳市龙门石窟,5A,河南省,112.4712964,34.55991342
龙潭大峡谷,河南省洛阳市龙潭大峡谷,5A,河南省,111.9878448,34.96149143
洛阳白云山景区,河南省洛阳市洛阳白云山景区,5A,河南省,111.3870321,33.91100798
老君山风景区,河南省洛阳市老君山风景区,5A,河南省,111.6409081,33.75833319
鸡冠洞景区,河南省洛阳市鸡冠洞景区,5A,河南省,111.564712,33.78494012
尧山景区,河南省平顶山市尧山景区,5A,河南省,112.2954191,33.73047698
新乡八里沟景区,河南省新乡市新乡八里沟景区,5A,河南省,113.7988695,35.1913816
云台山5A拓展景区—青天河、神农山景区,河南省焦作市云台山5A拓展景区—青天河、神农山景区,5A,河南省,112.8106674,35.21298416
安阳殷墟景区,河南省安阳市安阳殷墟景区,5A,河南省,114.4644119,36.08225512
林州市红旗渠·太行大峡谷景区,河南省安阳市林州市红旗渠·太行大峡谷景区,5A,河南省,113.6987009,36.15919172
老界岭—恐龙遗迹园景区,河南省南阳市老界岭—恐龙遗迹园景区,5A,河南省,111.6805466,33.23215069
嵖岈山风景区,河南省驻马店市嵖岈山风景区,5A,河南省,113.7240668,33.13145783
永城市芒砀山旅游景区,河南省永城市永城市芒砀山旅游景区,5A,河南省,116.5060364,34.17077312
黄鹤楼公园,湖北省武汉武昌蛇山西山坡1号黄鹤楼公园,5A,湖北省,114.3458272,30.09201756
武汉东湖景区,湖北省武汉武昌东湖翠柳村18号武汉东湖景区,5A,湖北省,114.3663441,30.56511815
黄陂木兰文化生态旅游区（木兰山）,湖北省武汉武汉市黄陂区胜景大道木兰山风景区服务中心黄陂木兰文化生态旅游区（木兰山）,5A,湖北省,114.387329,31.1044603
黄陂木兰文化生态旅游区（木兰天池）,湖北省武汉武汉市黄陂区长轩岭街官田村龙池堰黄陂木兰文化生态旅游区（木兰天池）,5A,湖北省,114.3911268,31.09529052
黄陂木兰文化生态旅游区（木兰草原）,湖北省武汉武汉市黄陂区王家河街聂家岗黄陂木兰文化生态旅游区（木兰草原）,5A,湖北省,114.4231663,30.961879
黄陂木兰文化生态旅游区（木兰云雾山）,湖北省武汉武汉市黄陂区李家集街泡桐云雾山景区黄陂木兰文化生态旅游区（木兰云雾山）,5A,湖北省,114.2326163,30.96468205
古隆中景区,湖北省襄阳襄阳市襄城区隆中路6号古隆中景区,5A,湖北省,112.0828606,32.0003421
三峡大坝,湖北省宜昌宜昌三峡坝区江峡大道13小区三峡大坝,5A,湖北省,111.0285197,30.82911829
屈原故里文化旅游区,湖北省宜昌秭归县茅坪镇滨湖大道屈原故里文化旅游区,5A,湖北省,110.9829617,30.82844343
三峡人家景区,湖北省宜昌夷陵区三斗坪镇石牌村三峡人家景区,5A,湖北省,111.1501592,30.7929472
宜昌市长阳清江画廊景区,湖北省宜昌长阳土家族自治县龙舟坪镇宜昌市长阳清江画廊景区,5A,湖北省,111.2354733,30.53102711
十堰市武当山风景区,湖北省十堰武当山旅游经济特区永乐路十堰市武当山风景区,5A,湖北省,111.0889456,32.50663479
咸宁市赤壁古战场景区,湖北省咸宁赤壁市赤壁镇武侯巷6号咸宁市赤壁古战场景区,5A,湖北省,113.6250758,29.88156455
恩施州神农溪纤夫文化旅游区,湖北省恩施巴东县官渡口镇恩施州神农溪纤夫文化旅游区,5A,湖北省,110.3245223,31.04081584
恩施大峡谷景区,湖北省恩施恩施市沐抚办事处甘堰塘恩施大峡谷景区,5A,湖北省,109.1962373,30.43906138
恩施州利川腾龙洞景区,湖北省恩施利川市腾龙大道1号恩施州利川腾龙洞景区,5A,湖北省,108.95518,30.30198194
神农架生态旅游区,湖北省神农架神农架林区木鱼镇神农架生态旅游区,5A,湖北省,110.6856705,31.74548147
常德桃花源风景名胜区,湖南省常德市常德桃花源风景名胜区,5A,湖南省,111.4361331,28.79362281
株洲炎帝陵风景名胜区,湖南省株洲市株洲炎帝陵风景名胜区,5A,湖南省,113.6670044,26.42611577
东江湖风景名胜区,湖南省郴州市东江湖风景名胜区,5A,湖南省,113.3054846,25.86897676
长沙市花明楼景区,湖南省长沙市长沙市花明楼景区,5A,湖南省,112.6435782,28.03661718
岳麓山·橘子洲旅游区,湖南省长沙市岳麓山·橘子洲旅游区,5A,湖南省,113.1606042,28.12833071
韶山风景名胜区,湖南省湘潭市韶山风景名胜区,5A,湖南省,112.4846831,27.90809017
张家界武陵源风景名胜区,湖南省张家界市张家界武陵源风景名胜区,5A,湖南省,110.4386494,29.40512639
张家界市武陵源－天门山旅游区,湖南省张家界市张家界市武陵源－天门山旅游区,5A,湖南省,110.4918056,29.0152107
广州市长隆旅游度假区,广东省广州广州市长隆旅游度假区,5A,广东省,113.3198905,23.0027027
广州市白云山风景区,广东省广州广州市白云山风景区,5A,广东省,113.2907933,23.16310056
深圳市华侨城旅游度假区,广东省深圳深圳市华侨城旅游度假区,5A,广东省,113.9797784,22.54108519
深圳市观澜湖休闲度假区,广东省深圳深圳市观澜湖休闲度假区,5A,广东省,113.990551,22.69873908
佛山市西樵山景区,广东省佛山佛山市西樵山景区,5A,广东省,112.9719817,22.92741625
佛山市长鹿旅游休博园,广东省佛山佛山市长鹿旅游休博园,5A,广东省,113.2834674,22.88086577
韶关市丹霞山景区,广东省韶关韶关市丹霞山景区,5A,广东省,113.7157946,25.02457431
梅州市雁南飞茶田景区,广东省梅州梅州市雁南飞茶田景区,5A,广东省,116.3601561,24.38938257
惠州市罗浮山景区,广东省惠州惠州市罗浮山景区,5A,广东省,114.0636365,23.26531214
惠州市西湖旅游景区,广东省惠州惠州市西湖旅游景区,5A,广东省,115.8908971,28.67815145
孙中山故里旅游区,广东省中山孙中山故里旅游区,5A,广东省,113.523014,22.44534754
江门市开平碉楼文化旅游区,广东省江门江门市开平碉楼文化旅游区,5A,广东省,112.5746269,22.37559766
阳江市海陵岛大角湾海上丝路旅游区,广东省阳江阳江市海陵岛大角湾海上丝路旅游区,5A,广东省,111.8424251,21.57199535
肇庆市星湖旅游景区,广东省肇庆肇庆市星湖旅游景区,5A,广东省,112.4645208,23.07827041
清远市连州地下河旅游景区,广东省清远清远市连州地下河旅游景区,5A,广东省,112.3246441,25.00452588
南宁青秀山风景旅游区,广西省南宁市南宁青秀山风景旅游区,5A,广西壮族自治区,108.3477715,22.83264541
桂林漓江景区,广西省桂林市桂林漓江景区,5A,广西壮族自治区,110.4269966,25.14989755
桂林两江四湖﹒象山景区,广西省桂林市桂林两江四湖﹒象山景区,5A,广西壮族自治区,110.2914423,25.27156988
桂林独秀峰-王城景区,广西省桂林市秀峰区桂林独秀峰-王城景区,5A,广西壮族自治区,110.2946229,25.28437501
桂林乐满地休闲世界,广西省桂林市兴安县桂林乐满地休闲世界,5A,广西壮族自治区,110.6709759,25.58698415
崇左市德天跨国瀑布景区,广西省崇左市崇左市德天跨国瀑布景区,5A,广西壮族自治区,106.7248387,22.855878
百色起义纪念园,广西省百色市百色起义纪念园,5A,广西壮族自治区,106.6362242,23.90476311
槟榔谷黎苗文化旅游区,海南省保亭黎族苗族自治县三道镇甘什岭槟榔谷黎苗文化旅游区,5A,海南省,109.661546,18.39923444
海南呀诺达雨林文化旅游区,海南省保亭县三道镇海南呀诺达雨林文化旅游区,5A,海南省,109.6444382,18.45417474
海南分界洲岛旅游区,海南省陵水县牛岭分界洲岛海南分界洲岛旅游区,5A,海南省,110.196406,18.57847849
大小洞天旅游区,海南省三亚市崖城区大小洞天景区大小洞天旅游区,5A,海南省,109.1540587,18.30248946
南山文化旅游区,海南省三亚南山文化苑南山文化旅游区,5A,海南省,113.9226356,22.54467551
蜈支洲岛旅游区,海南省三亚市海棠区蜈支洲岛蜈支洲岛旅游区,5A,海南省,109.7622055,18.31215049
重庆大足石刻景区,重庆市大足区重庆大足石刻景区,5A,重庆市,105.7924505,29.75201758
重庆巫山小三峡—小小三峡,重庆市巫山县重庆巫山小三峡—小小三峡,5A,重庆市,109.8776361,31.07918101
